iter	Passed	Remaining
601	15904	10514
602	15926	10485
603	15944	10453
604	15962	10421
605	15980	10389
606	15998	10358
607	16020	10328
608	16037	10296
609	16052	10263
610	16069	10230
611	16084	10197
612	16100	10164
613	16116	10132
614	16133	10099
615	16151	10068
616	16170	10037
617	16192	10008
618	16211	9978
619	16229	9946
620	16248	9916
621	16266	9885
622	16281	9852
623	16295	9819
624	16309	9785
625	16324	9752
626	16338	9719
627	16353	9687
628	16367	9654
629	16381	9620
630	16394	9587
631	16414	9558
632	16439	9531
633	16461	9502
634	16479	9472
635	16498	9442
636	16519	9413
637	16539	9384
638	16564	9357
639	16584	9328
640	16606	9300
641	16632	9274
642	16656	9247
643	16680	9220
644	16706	9195
645	16730	9168
646	16755	9141
647	16779	9114
648	16800	9086
649	16821	9057
650	16842	9029
651	16889	9014
652	16914	8988
653	16934	8959
654	16956	8931
655	16977	8902
656	16999	8875
657	17023	8848
658	17054	8825
659	17083	8800
660	17114	8777
661	17134	8748
662	17155	8719
663	17175	8691
664	17194	8661
665	17215	8633
666	17237	8605
667	17258	8577
668	17279	8549
669	17304	8523
670	17330	8497
671	17354	8470
672	17379	8444
673	17400	8416
674	17415	8385
675	17434	8356
676	17454	8327
677	17473	8298
678	17490	8268
679	17510	8240
680	17533	8213
681	17559	8187
682	17582	8160
683	17608	8134
684	17634	8109
685	17661	8084
686	17687	8058
687	17709	8031
688	17729	8002
689	17751	7975
690	17775	7948
691	17792	7919
692	17811	7890
693	17830	7861
694	17849	7833
695	17867	7804
696	17886	7775
697	17907	7747
698	17927	7719
699	17950	7692
700	17970	7665
701	17990	7636
702	18010	7609
703	18035	7582
704	18060	7557
705	18083	7530
706	18106	7503
707	18130	7477
708	18154	7451
709	18175	7423
710	18198	7396
711	18220	7369
712	18241	7342
713	18262	7315
714	18279	7286
715	18296	7257
716	18312	7227
717	18329	7198
718	18347	7170
719	18363	7141
720	18379	7112
721	18395	7083
722	18412	7054
723	18430	7026
724	18447	6997
725	18463	6968
726	18479	6939
727	18496	6910
728	18512	6881
729	18535	6855
730	18556	6828
731	18583	6803
732	18611	6779
733	18637	6754
734	18663	6728
735	18688	6703
736	18711	6677
737	18731	6649
738	18760	6625
739	18785	6600
740	18812	6575
741	18838	6550
742	18863	6524
743	18889	6499
744	18911	6473
745	18947	6451
746	18973	6426
747	18999	6400
748	19020	6374
749	19049	6349
750	19081	6326
751	19110	6302
752	19148	6281
753	19174	6255
754	19204	6231
755	19233	6207
756	19265	6184
757	19293	6159
758	19322	6135
759	19348	6110
760	19379	6086
761	19402	6060
762	19422	6032
763	19444	6006
764	19464	5979
765	19483	5951
766	19504	5925
767	19529	5899
768	19554	5874
769	19579	5848
770	19607	5823
771	19632	5798
772	19668	5776
773	19700	5752
774	19726	5726
775	19749	5700
776	19774	5675
777	19798	5649
778	19823	5623
779	19848	5598
780	19871	5572
781	19929	5555
782	19957	5530
783	19983	5505
784	20009	5480
785	20034	5454
786	20060	5429
787	20085	5403
788	20111	5378
789	20141	5353
790	20167	5328
791	20191	5302
792	20216	5277
793	20237	5250
794	20260	5224
795	20284	5198
796	20307	5172
797	20330	5146
798	20355	5120
799	20378	5094
800	20403	5069
801	20430	5043
802	20456	5018
803	20481	4992
804	20506	4967
805	20530	4941
806	20555	4916
807	20579	4890
808	20604	4864
809	20634	4840
810	20657	4814
811	20682	4788
812	20705	4762
813	20727	4736
814	20750	4710
815	20769	4683
816	20787	4656
817	20805	4628
818	20823	4601
819	20842	4575
820	20860	4548
821	20874	4520
822	20893	4493
823	20909	4466
824	20924	4438
825	20940	4411
826	20956	4383
827	20971	4356
828	20989	4329
829	21008	4302
830	21031	4277
831	21052	4251
832	21071	4224
833	21090	4197
834	21109	4171
835	21129	4144
836	21145	4117
837	21159	4090
838	21175	4063
839	21189	4036
840	21204	4008
841	21221	3982
842	21237	3955
843	21254	3928
844	21286	3904
845	21316	3880
846	21341	3855
847	21373	3831
848	21401	3806
849	21428	3781
850	21454	3756
851	21484	3731
852	21511	3707
853	21537	3682
854	21562	3656
855	21585	3631
856	21604	3604
857	21624	3578
858	21648	3553
859	21668	3527
860	21689	3501
861	21719	3477
862	21747	3452
863	21773	3427
864	21798	3402
865	21828	3377
